Вид задачи;Статус;Проект;Задача ;Срок выполнения;Ответственнный;Примечание
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
ИИ-агент для сверки объемов общего
журнала работ и актов выполненных работ";Разработать процессную модель (плановую) ;05.08.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
ИИ-агент, разрабатывающий
исполнительные схемы из рабочей
документации и проверяющий ее
соответствие ПД (надзор проверяет по ПД)";Разработать процессную модель (текущую);06.08.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
ИИ-агент, разрабатывающий
исполнительные схемы из рабочей
документации и проверяющий ее
соответствие ПД (надзор проверяет по ПД)";Определить болевые точки (ручной ввод, ошибки, разные формы, разрывы данных);07.08.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
ИИ-агент, разрабатывающий
исполнительные схемы из рабочей
документации и проверяющий ее
соответствие ПД (надзор проверяет по ПД)";Разработать процессную модель (плановую) ;11.08.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
ИИ-агент для формирования общего
журнала работ";Разработать процессную модель (текущую);14.08.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
ИИ-агент по оцифровке исполнительной
документации";Определить болевые точки (ручной ввод, ошибки, разные формы, разрывы данных);19.08.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"ИИ - агенты (Исполнительная документация)
ИИ-агент по оцифровке исполнительной
документации";Разработать процессную модель (плановую) ;21.08.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"Для всех ИИ - агентов 
(Исполнительная документация)";Определить архитектуру решения (хранилище документов, OCR - слой, модель разметки, где достаточно правил, а где нужен LLM, семантический поиск, модуль разметки и извлечения данных, оркестрация и требования к API интеграциям);05.08.2026;Савенко А.В.;
Стратегические задачи;не начата;"Для всех ИИ - агентов 
(Исполнительная документация)";Собрать исторические данные в привязки к каждому агенту (выполнить классификацию собранных данных: РД/ПД/сертификаты/АОСР/АООК/ОЖР/КС/АКТы;15.08.2026;Ласточкина Т.В.;
Стратегические задачи;не начата;"Для всех ИИ - агентов 
(Исполнительная документация)";Разметка сущностей ;определить;Ласточкина Т.В.;
Стратегические задачи;не начата;"Для всех ИИ - агентов 
(Исполнительная документация)";Определение справочников и правил;определить;Ласточкина Т.В.;
Стратегические задачи;не начата;"Для всех ИИ - агентов 
(Исполнительная документация)";Определение требований к ИТ/ИБ;определить;Савенко А.В.;
Стратегические задачи;не начата;"Для всех ИИ - агентов 
(Исполнительная документация)";Старт разработки каждого ИИ агента ;определить;Савенко А.В.;
Стратегические задачи;не начата;Рейтингование строительных площадок;Разработка единого стандарта цифровизации площадок строительства;01.09.2026;Полянкин А.Г.;
Стратегические задачи;не начата;Рейтингование строительных площадок;Согласование единого стандарта цифровизации площадок строительства;15.09.2026;Полянкин А.Г.;
Стратегические задачи;не начата;Рейтингование строительных площадок;Утверждение макета дашборда и инструментов сбора данных;15.09.2026;Полянкин А.Г.;
Стратегические задачи;не начата;Рейтингование строительных площадок;Пилотирование метрик на объектах ИМИП (отдел в опер подчинении);30.09.2026;Полянкин А.Г.;
Стратегические задачи;не начата;Рейтингование строительных площадок;Корректировка стандарта;05.10.2026;Полянкин А.Г.;
Стратегические задачи;не начата;Рейтингование строительных площадок;Подготовка программы обучения и масштабирование на другие площадки;15.10.2026;Полянкин А.Г.;
Операционные задачи;не начата;Ежедневный фотопанорамный мониторинг;Определение перечня студентов для масштабирования фронтов работ по фотомониторингу;еженедельно;Полянкин А.Г.;
Операционные задачи;в работе;Ежедневный фотопанорамный мониторинг;Обучение студентов ;30.07.2026;Полянкин А.Г.;
Операционные задачи;выполнено;Ежедневный фотопанорамный мониторинг;Выполнение фотомониторинга 19 объектов в соответствии с графиком выездов;еженедельно;Полянкин А.Г.;
Операционные задачи;выполнено;Ежедневный фотопанорамный мониторинг;Выполнение камеральных работ по фотомониторингу;еженедельно;Полянкин А.Г.;
Операционные задачи;выполнено;Статусные модели прогресса строительства;Подготовка статусных моделей по объектам метрополитена (РАЛ);24.07.2026;Полянкин А.Г.;
Операционные задачи;не начата;Обучение и масштабирование компетенций;Обучение применение информационных моделей на этапе строительства. Основы;"определить после штаба по повестке ""обучение""";Львовская М.А.;
Операционные задачи;не начата;Обучение и масштабирование компетенций;Методика рейтингования строительных площадок для оценки цифровой зрелости. Основы.;"определить после штаба по повестке ""обучение""";Львовская М.А.;
Операционные задачи;не начата;Обучение и масштабирование компетенций;Использование результатов работ по фотомониторингу для всех участников строительной площадки;"определить после штаба по повестке ""обучение""";Львовская М.А.;
Операционные задачи;не начата;Обучение и масштабирование компетенций;Практические кейсы применение 4D и что для этого нужно;"определить после штаба по повестке ""обучение""";Львовская М.А.;
Операционные задачи;не начата;Обучение и масштабирование компетенций;Использование сервисов ИИ для упрощение рутинных операций;"определить после штаба по повестке ""обучение""";Львовская М.А.;
Операционные задачи;не начата;Обучение и масштабирование компетенций;Создание исполнительной документации в различных цифровых средах;"определить после штаба по повестке ""обучение""";Львовская М.А.;
Операционные задачи;не начата;Анализ строительных процессов и выявление методов автоматизации;Анализ строительных процессов и выявление методов автоматизации;"определить после штаба по повестке ""выученные уроки""";Львовская М.А.;
Стратегические задачи;не начата;Автоматизация и контроль качества КСГ;Автоматизация и контроль качества КСГ;"определить после штаба по повестке ""КСГ""";Выгонный О.П.;
